,Title,Culture,Dynasty,Date,Period,Material,object_Type,Path
487,RC-1620 - Ishtar,Mesopotamian,,2500 BCE,Early Dynastic,,Sumerian,68.jpg
488,RC-1621 - Head,Mesopotamian,,700 BCE,Neo Babylonian,Stone,Babylonian,558.jpg
489,RC-1625 - Ornamental Chain,Egyptian,,305 - 30 BCE,Ptolemaic,Iron,Sculpture,303.jpg
490,RC-1626 - Steelyard/ Scale,Egyptian,,30 BCE - 323 CE,Greco-Roman,Bronze,Tools,440.jpg
491,RC-1630 - Hydria Or Urn,,,30 BCE - 395 CE,Roman,Clay,Vessels,263.jpg
492,RC-1631 - Pharaoh's Offering,Egyptian,18TH,1567 - 1320 BCE,New Kingdom,Limestone,Funerary,33.jpg
493,RC-1633 - Canopic Jar,Egyptian,19TH,1350 - 1205 BCE,New Kingdom,Banded Calcite,Vessels,751.jpg
494,RC-1638 - Portrait of Bearded Man,Egyptian,,,,Wood,Funerary,418.jpg
495,RC-1639 - Winged Heart Scarab,Egyptian,,,,Faience,Amulets,838.jpg
496,RC-1644 - Cross with Rose Center,Egyptian,,100 CE,,Limestone,Sculpture,252.jpg
497,RC-1645 - Horus Hawk,Egyptian,26TH,685-525 BCE,Saite Period,Bronze,Sculpture,1008.jpg
498,RC-1646 - Mummy Box,Egyptian,18TH,1570-1293 BCE,New Kingdom,Wood,Funerary,41.jpg
499,RC-1649 - Natron in  Infant Mummiform,Egyptian,,,,Natron,Funerary,46.jpg
500,RC-1650 - Natron Bag,Egyptian,,,,Natron,Tools,843.jpg
501,RC-1651 - Bes on Staff,Egyptian,27 - 31ST,945 - 332 BCE,Late Period,Bronze,Sculpture,165.jpg
502,RC-1652 - Seated Isis/ Without Horus,Egyptian,27 - 31ST,945 - 332 BCE,Late Period,Bronze,Sculpture,380.jpg
503,RC-1653 - Mummy Portrait Head,Egyptian,,332 - 30 BCE,Greco-Roman,,Funerary,104.jpg
504,RC-1654 - Nesy-Keh-He Stele Fragment,Egyptian,,950-500 BCE,Late Period,Limestone,Funerary,598.jpg
505,RC-1671 - Ptahherdis Stele,Egyptian,25 - 26TH,712 - 525 BCE,3rd Intermediate,Basalt,Ritual Objects,1009.jpg
506,RC-1672 - Mummy Ornaments/ Female,Egyptian,,332 - 30 BCE,Ptolemaic,Cartonnage,Funerary,1010.jpg
507,RC-1677 - Tahure Coffin,Egyptian,26TH,685 - 525 BCE,Saite Period,Wood,Funerary,626.jpg
508,RC-1678 - Disure Coffin,Egyptian,18TH,1570 - 1070 BCE,New Kingdom,Wood,Funerary,415.jpg
509,RC-1680 - Mummy of Nesimin,Egyptian,26TH,664-525 BCE,Saite Period,Human Remains,Funerary,65.jpg
